Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites_Reservasi_Foreigner,Chrome 148.0.7778.168,,,22-05-2026 11:13:55,22-05-2026 11:15:20,1m - 25.046s,PASSED
,,,,,,,
Test Cases/TC01 - Login,Chrome 148.0.7778.168,,,22-05-2026 11:13:55,22-05-2026 11:14:48,52.718s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,22-05-2026 11:13:56,22-05-2026 11:13:58,2.564s,PASSED
"navigateToUrl(""https://app.nci.co.id/siora/"")",Chrome 148.0.7778.168,,,22-05-2026 11:13:58,22-05-2026 11:14:00,2.212s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 11:14:00,22-05-2026 11:14:05,5.047s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Login""))",Chrome 148.0.7778.168,,,22-05-2026 11:14:05,22-05-2026 11:14:16,10.563s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 11:14:16,22-05-2026 11:14:21,5.013s,PASSED
"setText(findTestObject(""Login_OR/Page_SIORA/input_enter your email""), ""herykuswanto03@gmail.com"")",Chrome 148.0.7778.168,,,22-05-2026 11:14:21,22-05-2026 11:14:32,10.971s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 11:14:32,22-05-2026 11:14:37,5.012s,PASSED
"setEncryptedText(findTestObject(""Login_OR/Page_SIORA/input_""), ""qkk5RTyihrJfVaznnNKVlg=="")",Chrome 148.0.7778.168,,,22-05-2026 11:14:37,22-05-2026 11:14:38,0.500s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 11:14:38,22-05-2026 11:14:43,5.009s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Sign In""))",Chrome 148.0.7778.168,,,22-05-2026 11:14:43,22-05-2026 11:14:43,0.371s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 11:14:43,22-05-2026 11:14:48,5.020s,PASSED
,,,,,,,
Test Cases/TC03 - Reservasi Foreigner,Chrome 148.0.7778.168,,,22-05-2026 11:14:48,22-05-2026 11:15:20,31.832s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/img_Komodo Reservation""))",Chrome 148.0.7778.168,,,22-05-2026 11:14:48,22-05-2026 11:14:48,0.349s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 11:14:48,22-05-2026 11:14:50,2.022s,PASSED
