Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suites_Reservasi_Foreigner,Chrome 148.0.7778.168,,,22-05-2026 13:15:46,22-05-2026 13:17:01,1m - 15.391s,PASSED
,,,,,,,
Test Cases/TC01 - Login,Chrome 148.0.7778.168,,,22-05-2026 13:15:46,22-05-2026 13:16:21,34.461s,PASSED
"openBrowser("""")",Chrome 148.0.7778.168,,,22-05-2026 13:15:47,22-05-2026 13:15:51,4.230s,PASSED
"navigateToUrl(""https://app.nci.co.id/siora/"")",Chrome 148.0.7778.168,,,22-05-2026 13:15:51,22-05-2026 13:15:51,0.540s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 13:15:51,22-05-2026 13:15:56,5.085s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Login""))",Chrome 148.0.7778.168,,,22-05-2026 13:15:56,22-05-2026 13:15:58,1.251s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 13:15:58,22-05-2026 13:16:03,5.019s,PASSED
"setText(findTestObject(""Login_OR/Page_SIORA/input_enter your email""), ""herykuswanto03@gmail.com"")",Chrome 148.0.7778.168,,,22-05-2026 13:16:03,22-05-2026 13:16:04,1.196s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 13:16:04,22-05-2026 13:16:09,5.029s,PASSED
"setEncryptedText(findTestObject(""Login_OR/Page_SIORA/input_""), ""qkk5RTyihrJfVaznnNKVlg=="")",Chrome 148.0.7778.168,,,22-05-2026 13:16:09,22-05-2026 13:16:10,0.938s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 13:16:10,22-05-2026 13:16:15,5.022s,PASSED
"click(findTestObject(""Login_OR/Page_SIORA/button_Sign In""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:15,22-05-2026 13:16:15,0.537s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 13:16:15,22-05-2026 13:16:21,5.020s,PASSED
,,,,,,,
Test Cases/TC03 - Reservasi Foreigner,Chrome 148.0.7778.168,,,22-05-2026 13:16:21,22-05-2026 13:17:01,40.142s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/img_Komodo Reservation""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:21,22-05-2026 13:16:22,0.678s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 13:16:22,22-05-2026 13:16:24,2.015s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/div_w-6 h-6 rounded-lg border-2 flex items-cente""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:24,22-05-2026 13:16:24,0.770s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 13:16:24,22-05-2026 13:16:26,2.030s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Next""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:26,22-05-2026 13:16:27,0.798s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 13:16:27,22-05-2026 13:16:29,2.030s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/Page_SIORA/button_inline-flex items-center justify-center g""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:29,22-05-2026 13:16:30,0.737s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 13:16:30,22-05-2026 13:16:32,2.022s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:32,22-05-2026 13:16:33,0.629s,PASSED
delay(2),Chrome 148.0.7778.168,,,22-05-2026 13:16:33,22-05-2026 13:16:35,2.015s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Komodo National Park""))",Chrome 148.0.7778.168,,,22-05-2026 13:16:35,22-05-2026 13:16:35,0.875s,PASSED
